date,league,t1,t2,game,bet_type,bet_line,ROI,House,status,odds,profit
2023-10-14 08:07:55,WLDs,LOUD,GAM Esports,2,under,total_inhibitors 1.5,9.84%,Bet365,loss,2.25,-1.0
2023-10-15 03:11:17,WLDs,GAM Esports,Team Whales,1,under,total_kills 27.5,6.95%,Dafabet,win,1.86,0.86
2023-10-15 03:58:19,WLDs,GAM Esports,Team Whales,2,under,total_kills 27.5,6.95%,Dafabet,win,1.86,0.86
2023-10-15 04:46:19,WLDs,GAM Esports,Team Whales,3,under,total_kills 27.5,6.95%,Dafabet,loss,1.86,-1.0
2023-10-15 05:44:39,WLDs,GAM Esports,Team Whales,4,under,total_kills 27.5,6.95%,Dafabet,loss,1.86,-1.0
2023-10-15 03:11:17,WLDs,GAM Esports,Team Whales,1,under,game_duration 31.0,4.69%,Dafabet,win,1.994,0.99
2023-10-15 03:58:19,WLDs,GAM Esports,Team Whales,2,under,game_duration 31.0,4.69%,Dafabet,win,1.994,0.99
2023-10-15 04:46:19,WLDs,GAM Esports,Team Whales,3,under,game_duration 31.0,4.69%,Dafabet,loss,1.994,-1.0
2023-10-15 05:44:39,WLDs,GAM Esports,Team Whales,4,under,game_duration 31.0,4.69%,Dafabet,win,1.994,0.99
2023-10-15 03:11:17,WLDs,GAM Esports,Team Whales,1,under,total_barons 1.5,10.22%,Dafabet,win,1.837,0.84
2023-10-15 03:58:19,WLDs,GAM Esports,Team Whales,2,under,total_barons 1.5,10.22%,Dafabet,win,1.837,0.84
2023-10-15 04:46:19,WLDs,GAM Esports,Team Whales,3,under,total_barons 1.5,10.22%,Dafabet,loss,1.837,-1.0
2023-10-15 05:44:39,WLDs,GAM Esports,Team Whales,4,under,total_barons 1.5,10.22%,Dafabet,win,1.837,0.84
2023-10-15 06:45:24,WLDs,PSG Talon,Team BDS,1,under,total_dragons 4.5,18.47%,Bet365,loss,1.9,-1.0
2023-10-15 07:41:09,WLDs,Team BDS,PSG Talon,2,under,total_dragons 4.5,18.47%,Bet365,win,1.9,0.9
2023-10-15 08:30:03,WLDs,Team BDS,PSG Talon,3,under,total_dragons 4.5,18.47%,Bet365,loss,1.9,-1.0
2023-10-15 09:32:00,WLDs,PSG Talon,Team BDS,4,under,total_dragons 4.5,18.47%,Bet365,win,1.9,0.9
2023-10-15 10:18:58,WLDs,PSG Talon,Team BDS,5,under,total_dragons 4.5,18.47%,Bet365,loss,1.9,-1.0
2023-10-15 06:45:24,WLDs,PSG Talon,Team BDS,1,under,total_kills 25.5,3.34%,Bet365,win,1.83,0.83
2023-10-15 07:41:09,WLDs,Team BDS,PSG Talon,2,under,total_kills 25.5,3.34%,Bet365,win,1.83,0.83
2023-10-15 08:30:03,WLDs,Team BDS,PSG Talon,3,under,total_kills 25.5,3.34%,Bet365,loss,1.83,-1.0
2023-10-15 09:32:00,WLDs,PSG Talon,Team BDS,4,under,total_kills 25.5,3.34%,Bet365,loss,1.83,-1.0
2023-10-15 10:18:58,WLDs,PSG Talon,Team BDS,5,under,total_kills 25.5,3.34%,Bet365,win,1.83,0.83
2023-10-15 06:45:24,WLDs,PSG Talon,Team BDS,1,under,game_duration 32.5,8.72%,Bet365,loss,1.83,-1.0
2023-10-15 07:41:09,WLDs,Team BDS,PSG Talon,2,under,game_duration 32.5,8.72%,Bet365,win,1.83,0.83
2023-10-15 08:30:03,WLDs,Team BDS,PSG Talon,3,under,game_duration 32.5,8.72%,Bet365,loss,1.83,-1.0
2023-10-15 09:32:00,WLDs,PSG Talon,Team BDS,4,under,game_duration 32.5,8.72%,Bet365,win,1.83,0.83
2023-10-15 10:18:58,WLDs,PSG Talon,Team BDS,5,under,game_duration 32.5,8.72%,Bet365,loss,1.83,-1.0
2023-10-15 06:45:24,WLDs,PSG Talon,Team BDS,1,under,total_inhibitors 1.5,15.81%,Bet365,loss,2.25,-1.0
2023-10-15 07:41:09,WLDs,Team BDS,PSG Talon,2,under,total_inhibitors 1.5,15.81%,Bet365,loss,2.25,-1.0
2023-10-15 08:30:03,WLDs,Team BDS,PSG Talon,3,under,total_inhibitors 1.5,15.81%,Bet365,loss,2.25,-1.0
2023-10-15 09:32:00,WLDs,PSG Talon,Team BDS,4,under,total_inhibitors 1.5,15.81%,Bet365,win,2.25,1.25
2023-10-15 10:18:58,WLDs,PSG Talon,Team BDS,5,under,total_inhibitors 1.5,15.81%,Bet365,loss,2.25,-1.0
2023-10-15 03:11:17,WLDs,GAM Esports,Team Whales,1,under,total_dragons 4.5,18.95%,Bet365,win,1.83,0.83
2023-10-15 03:58:19,WLDs,GAM Esports,Team Whales,2,under,total_dragons 4.5,18.95%,Bet365,win,1.83,0.83
2023-10-15 04:46:19,WLDs,GAM Esports,Team Whales,3,under,total_dragons 4.5,18.95%,Bet365,loss,1.83,-1.0
2023-10-15 05:44:39,WLDs,GAM Esports,Team Whales,4,under,total_dragons 4.5,18.95%,Bet365,win,1.83,0.83
2023-10-15 03:11:17,WLDs,GAM Esports,Team Whales,1,under,total_towers 12.5,9.90%,Bet365,loss,1.57,-1.0
