date,league,t1,t2,game,bet_type,bet_line,ROI,House,status,odds,profit
2023-10-21 10:28:40,WLDs,G2 Esports,Gen.G,2,over,total_towers 12.5,5.00%,Bet365,loss,2.1,-1.0
2023-10-21 09:38:23,WLDs,G2 Esports,Gen.G,1,over,total_kills 25.5,14.38%,Bet365,loss,1.83,-1.0
2023-10-21 10:28:40,WLDs,G2 Esports,Gen.G,2,over,total_kills 25.5,14.38%,Bet365,win,1.83,0.83
2023-10-21 09:38:23,WLDs,G2 Esports,Gen.G,1,over,game_duration 29.5,9.80%,Bet365,win,1.83,0.83
2023-10-21 10:28:40,WLDs,G2 Esports,Gen.G,2,over,game_duration 29.5,9.80%,Bet365,win,1.83,0.83
2023-10-21 07:11:26,WLDs,JD Gaming,LNG Esports,1,under,total_dragons 4.5,24.78%,Bet365,win,1.61,0.61
2023-10-21 07:58:13,WLDs,LNG Esports,JD Gaming,2,under,total_dragons 4.5,24.78%,Bet365,win,1.61,0.61
2023-10-21 08:47:41,WLDs,JD Gaming,LNG Esports,3,under,total_dragons 4.5,24.78%,Bet365,win,1.61,0.61
2023-10-21 07:11:26,WLDs,JD Gaming,LNG Esports,1,under,total_towers 12.5,16.20%,Bet365,win,1.66,0.66
2023-10-21 07:58:13,WLDs,LNG Esports,JD Gaming,2,under,total_towers 12.5,16.20%,Bet365,win,1.66,0.66
2023-10-21 08:47:41,WLDs,JD Gaming,LNG Esports,3,under,total_towers 12.5,16.20%,Bet365,win,1.66,0.66
2023-10-21 07:11:26,WLDs,JD Gaming,LNG Esports,1,under,total_kills 24.5,18.95%,Bet365,win,1.83,0.83
